0,0,0
1,8,0
1,9,0
1,58,1
1,46,1
1,46,2
2,20,0
2,10,0
3,11,0
3,12,0
3,4,0
3,22,1
3,23,1
4,13,0
5,15,0
5,16,0
6,29,0
6,7,0
7,17,0
7,42,1
8,18,0
8,19,0
9,19,0
9,20,0
10,11,0
10,21,0
10,34,0
11,22,0
12,23,0
13,23,0
13,14,0
13,24,0
13,23,1
13,14,1
13,52,1
13,46,2
13,67,2
13,89,2
14,15,0
14,25,0
14,15,1
15,16,0
15,26,0
15,28,0
15,41,1
15,29,1
16,28,0
16,29,0
17,29,0
17,30,0
18,31,0
18,43,0
19,32,0
20,33,0
21,33,0
22,34,0
22,23,0
22,35,0
22,34,1
22,23,1
22,65,1
23,37,0
23,67,1
24,37,0
24,38,0
25,38,0
25,39,0
26,39,0
26,27,0
27,28,0
27,40,0
28,41,0
29,41,0
29,42,0
29,41,1
29,42,1
29,55,1
30,42,0
31,43,0
31,44,0
32,44,0
32,33,0
32,45,0
33,46,0
34,47,0
34,48,0
34,46,1
34,63,1
35,36,0
35,48,0
35,65,0
36,37,0
36,49,0
37,50,0
38,50,0
38,51,0
39,51,0
39,52,0
40,52,0
40,41,0
40,53,0
41,54,0
41,52,1
41,87,1
42,56,0
42,72,0
42,72,1
43,57,0
44,58,0
45,58,0
45,60,0
45,59,0
45,46,0
46,47,0
46,61,0
46,58,1
46,78,1
46,74,2
46,79,2
47,62,0
48,62,0
48,63,0
49,50,0
49,66,0
51,67,0
51,52,0
51,68,0
52,69,0
52,67,1
52,86,1
53,54,0
53,69,0
54,55,0
54,70,0
55,71,0
55,89,1
56,91,0
57,58,0
57,73,0
58,59,0
58,74,0
58,74,1
58,75,0
58,77,1
59,75,0
59,76,0
60,61,0
60,76,0
61,62,0
61,76,0
61,78,0
62,79,0
63,64,0
63,80,0
63,79,0
63,79,1
63,65,1
63,100,1
64,65,0
64,81,0
65,66,0
65,82,0
65,67,1
65,82,1
66,67,0
66,82,0
67,68,0
67,84,0
67,82,1
67,102,1
67,79,2
67,111,2
67,89,2
68,69,0
68,85,0
69,86,0
70,71,0
70,87,0
71,72,0
71,89,0
72,91,0
72,90,0
72,105,1
72,107,1
73,74,0
73,92,0
74,92,0
74,75,0
74,94,1
75,94,0
76,77,0
77,78,0
77,95,0
77,96,0
77,94,1
77,78,1
77,124,1
78,79,0
78,97,0
78,79,1
79,98,0
79,93,2
79,111,2
80,99,0
80,100,0
81,82,0
81,100,0
82,101,0
82,100,1
82,140,1
83,101,0
83,102,0
84,85,0
85,103,0
86,103,0
86,104,0
86,87,1
86,102,1
86,116,1
87,88,0
87,105,1
88,117,0
88,89,0
89,105,0
89,105,1
89,140,2
89,128,2
90,105,0
90,91,0
91,105,0
91,107,0
92,93,0
93,94,0
93,94,1
94,95,0
95,122,0
96,97,0
96,109,0
97,98,0
97,109,0
98,99,0
98,110,0
99,110,0
99,112,0
100,101,0
100,112,0
100,113,0
100,111,1
101,114,0
102,103,0
102,115,0
102,127,1
